"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","100.75","8","y=2.08x+84.08","92.00","98.00","97.00","5.91","91.38","98.00","80.00","106.66","94.84"
"2","88.03","15","y=0.73x+77.10","74.00","83.00","83.00","6.79","82.20","92.00","69.00","94.82","81.23"
"3","76.58","9","y=1.32x+64.73","72.00","80.00","70.00","5.87","70.00","80.00","56.00","82.45","70.71"
"4","85.58","12","y=1.83x+63.59","84.00","74.00","80.00","8.56","73.67","84.00","56.00","94.13","77.02"
"5","77.28","19","y=0.09x+75.65","74.00","77.00","80.00","5.23","76.42","89.00","69.00","82.52","72.05"
"6","85.51","13","y=0.89x+73.93","90.00","87.00","85.00","7.00","79.27","90.00","67.00","92.51","78.51"
"7","90.75","19","y=0.82x+75.22","82.00","91.00","90.00","5.99","82.58","91.00","72.00","96.75","84.76"
"8","83.84","25","y=0.30x+76.38","83.00","79.00","84.00","5.76","79.96","92.00","71.00","89.60","78.08"
"9","84.23","18","y=0.64x+72.72","79.00","83.00","84.00","7.56","78.15","86.00","56.00","91.79","76.67"
"10","83.82","10","y=1.91x+64.75","79.00","73.00","89.00","7.80","73.33","89.00","62.00","91.62","76.02"
"11","67.39","18","y=-0.43x+75.06","61.00","76.00","51.00","9.30","71.44","87.00","51.00","76.69","58.08"
"12","72.77","13","y=0.67x+64.10","73.00","68.10","64.00","7.09","68.10","80.00","51.00","79.86","65.68"
"13","86.73","10","y=0.68x+79.95","81.00","87.00","86.00","3.46","83.00","89.00","79.00","90.20","83.27"
"14","92.82","19","y=1.11x+71.76","69.00","91.00","91.00","9.44","81.74","91.00","60.00","102.27","83.38"
"15","85.09","15","y=0.01x+84.93","88.00","82.00","85.00","1.10","85.00","88.00","82.00","86.18","83.99"
"16","69.36","21","y=0.15x+66.13","74.00","67.67","67.67","1.75","67.67","74.00","63.00","71.12","67.61"
